id,name,shortName,tla
582,GD Estoril Praia,Estoril Praia,EST
583,Moreirense FC,Moreirense,MOR
584,UC Sampdoria,Sampdoria,SAM
585,Delfino Pescara 1936,Pescara,PES
586,Torino FC,Torino,TOR
587,Novara Calcio,Novara,NOV
588,SS Juve Stabia,Juve Stabia,STA
589,SS Virtus Lanciano,Lanciano,
590,FC Pro Vercelli 1892,Pro Vercelli,PRO
591,AC Cesena,Cesena,CES
593,AS Gubbio 1910,Gubbio,GUB
594,Nocerina,,
595,CD Mirandes,CD Mirandes,MIR
596,CD Lugo,Lugo,LUG
598,Mersin Idman Yurdu,,
599,Eskisehirspor,Eskisehirspor,ESK
600,Besiktas JK,Besiktas,BES
601,Manisaspor,Manisaspor,MAN
602,Trabzonspor,Trabzonspor,TRA
603,Samsunspor,Samsunspor,SAM
604,Genclerbirligi SK,Genclerbirligi,GEN
605,Fraport-TAV Antalyaspor,Antalyaspor,ANT
606,Gaziantepspor,Gaziantepspor,GAZ
607,Bursaspor,Bursaspor,BUR
608,Kayserispor,Kayserispor,KAY
609,Buyuksehyr,,
610,Galatasaray SK,Galatasaray,GAL
611,Qarabag Agdam FK,Qarabag Agdam,QAR
612,Demir Grup Sivasspor,Sivasspor,SIV
613,Fenerbahce SK,Fenerbahce,FEN
614,Orduspor,,
615,CS Pandurii Targu-Jiu,Pandurii,PAN
642,Atromitos,,ATR
643,PAS Giannina,PAS Giannina,GIA
644,Aris Thessaloniki FC,Thessaloniki,ARI
646,Panathinaikos AO,Panathinaikos,PAO
647,PAE Panionios GSS,Panionios,PAN
648,PAE Diethnis Enosis Ergotelis FC,Ergotelis,ERG
649,PAOK Thessaloniki FC,,SAL
654,PAE Olympiakos SFP,Olympiakos,OLY
655,Levadiakos,,LEV
657,PAE AEL 1964,Larisa,AEL
662,PAE Platanias,Platanias,PLA
664,Veria FC,,
665,Roda JC Kerkrade,Roda JC,RJC
666,FC Twente '65,Twente,TWE
668,VVV Venlo,Venlo,VVV
670,SBV Excelsior,Excelsior,EXC
671,Heracles Almelo,Heracles,HER
672,Willem II Tilburg,Willem II,WII
673,SC Heerenveen,Heerenveen,HEE
674,PSV,PSV,PSV
675,Feyenoord Rotterdam,Feyenoord,FEY
676,FC Utrecht,Utrecht,UTR
677,FC Groningen,Groningen,GRO
678,AFC Ajax,Ajax,AJA
679,SBV Vitesse,Vitesse,VIT
680,ADO Den Haag,Den Haag,ADO
681,NAC Breda,NAC,NAC
682,AZ,AZ,AZ
683,RKC Waalwijk,RKC,RKC
684,PEC Zwolle,Zwolle,ZWO
689,FC Vaslui,,
691,Tirgu Mures,,
692,CS Mioveni,Mioveni,MIO
694,Vointa Sibiu,,
696,Ceahlaul Piatra-Neamt,,
698,AFC Astra Giurgiu,Astra Giurgiu,AGI
699,FC Brasov,,
701,Concordia Chiajna,,
702,Sportul Studentesc,,
704,Otelul Galati,,GAL
705,CSS Drobeta Turnu Severin,CSS Drobeta,
706,CSM Iasi,,
707,Gloria Bistrita,,
708,Farul Constanta,Farul,FCO
712,FC Arouca,Arouca,FCA
713,Carpi FC 1909,Carpi FC,CAR
715,Cardiff City FC,Cardiff,CAR
718,Go Ahead Eagles,Go Ahead,GOA
719,SV 07 Elversberg,Elversberg,ELV
720,Holstein Kiel,Holstein Kiel,KSV
721,RB Leipzig,RB Leipzig,RBL
722,US Latina,Latina,LAT
723,Trapani Calcio,Trapani,TRA
726,RSC Anderlecht,Anderlecht,AND
729,FC Basel 1893,Basel,BAS
731,FK Zenit Sankt-Petersburg,Zenit,ZEN
732,Celtic FC,Celtic,CEL
734,NK Maribor,Maribor,MAR
740,1. FSV Mainz 05 II,Mainz 05 II,MAI
741,SG Sonnenhof Grossaspach,Grossaspach,GRO
742,US Orleans Loiret,Orleans,USO
745,CD Leganes,Leganes,LEG
747,ACD Virtus Entella,Virtus Entella,ENT
748,FK BATE Barysau,BATE,BAT
749,Malmo FF,Malmo FF,MAL
752,APOEL FC,APOEL,APO
754,FK Spartak Moskva,Spartak Moskva,SPA
755,GNK Dinamo Zagreb,Dinamo Zagreb,DIN
756,Netherlands,Netherlands,NLD
757,KSKL Ternat,,
758,Uruguay,Uruguay,URU
759,Germany,Germany,GER
760,Spain,Spain,ESP
761,Paraguay,Paraguay,PAR
762,Argentina,Argentina,ARG
763,Ghana,Ghana,GHA
764,Brazil,Brazil,BRA
765,Portugal,Portugal,POR
766,Japan,Japan,JPN
767,Chile,Chile,CHI
